#hg38.knownCanonical.chrom	hg38.knownCanonical.chromStart	hg38.knownCanonical.chromEnd	hg38.kgXref.geneSymbol	hg38.kgXref.description
chr22	10736170	10736283	RF00004	RF00004 (from geneSymbol)
chr22	10939387	10961338	FRG1FP	Homo sapiens FSHD region gene 1 family member F, pseudogene (FRG1FP), non-coding RNA. (from RefSeq NR_132320)
chr22	11066417	11068174	CU104787.1	Homo sapiens cDNA clone IMAGE:40002184. (from mRNA BC112441)
chr22	11124336	11125705	ACTR3BP6	ACTR3B pseudogene 6 (from HGNC ACTR3BP6)
chr22	11249808	11249959	RF00002	RF00002 (from geneSymbol)
chr22	12602465	12626642	FRG1GP	FRG1GP (from geneSymbol)
chr22	15273854	15273961	RF00026	RF00026 (from geneSymbol)
chr22	15282556	15288670	AP000542.3	Sequence 280060 from Patent EP1572962. (from mRNA JD299036)
chr22	15290717	15297196	AP000542.1	AP000542.1 (from geneSymbol)
chr22	15298377	15304556	AP000542.2	Sequence 357775 from Patent EP1572962. (from mRNA JD376751)
chr22	15326036	15343065	ZNF72P	zinc finger protein 72, pseudogene (from HGNC ZNF72P)
chr22	15349466	15350043	BNIP3P2	BCL2 interacting protein 3 pseudogene 2 (from HGNC BNIP3P2)
chr22	15489989	15492564	YME1L1P1	YME1L1 pseudogene 1 (from HGNC YME1L1P1)
chr22	15528158	15529139	OR11H1	Homo sapiens olfactory receptor family 11 subfamily H member 1 (OR11H1), mRNA. (from RefSeq NM_001005239)
chr22	15541435	15578006	AP000534.2	AP000534.2 (from geneSymbol)
chr22	15550903	15553838	ARHGAP42P3	Rho GTPase activating protein 42 pseudogene 3 (from HGNC ARHGAP42P3)
chr22	15557576	15560694	AP000534.1	Homo sapiens, clone IMAGE:3951139, mRNA. (from mRNA BC015119)
chr22	15562016	15564276	AP000533.2	Sequence 85406 from Patent EP1572962. (from mRNA JD104382)
chr22	15572088	15573265	AP000533.1	Sequence 283332 from Patent EP1572962. (from mRNA JD302308)
chr22	15588360	15588478	AP000533.3	AP000533.3 (from geneSymbol)
chr22	15600907	15604882	AP000532.2	AP000532.2 (from geneSymbol)
chr22	15611758	15613096	NEK2P2	NEK2 pseudogene 2 (from HGNC NEK2P2)
chr22	15615401	15615578	AP000532.1	AP000532.1 (from geneSymbol)
chr22	15622600	15632051	NF1P6	neurofibromin 1 pseudogene 6 (from HGNC NF1P6)
chr22	15635179	15644330	MED15P7	mediator complex subunit 15 pseudogene 7 (from HGNC MED15P7)
chr22	15690025	15721522	POTEH	Homo sapiens POTE ankyrin domain family member H (POTEH), mRNA. (from RefSeq NM_001136213)
chr22	15699360	15703403	POTEH-AS1	Homo sapiens POTEH antisense RNA 1 (POTEH-AS1), long non-coding RNA. (from RefSeq NR_046571)
chr22	15701458	15701565	RNU6-816P	RNA, U6 small nuclear 816, pseudogene (from HGNC RNU6-816P)
chr22	15721485	15722608	AP000529.1	Sequence 14 from Patent WO2015144924. (from mRNA LQ021071)
chr22	15749155	15750825	GRAMD4P2	GRAM domain containing 4 pseudogene 2 (from HGNC GRAMD4P2)
chr22	15765686	15778297	LINC01297	long intergenic non-protein coding RNA 1297 (from HGNC LINC01297)
chr22	15784962	15827708	DUXAP8	double homeobox A pseudogene 8 (from HGNC DUXAP8)
chr22	15796958	15798346	AP000526.1	Homo sapiens, clone IMAGE:3932143, mRNA. (from mRNA BC013389)
chr22	15805811	15820884	BMS1P22	Homo sapiens BMS1, ribosome biogenesis factor pseudogene 22 (BMS1P22), non-coding RNA. (from RefSeq NR_133911)
chr22	15823196	15823890	AP000525.1	AP000525.1 (from geneSymbol)
chr22	15826565	15827187	DUXAP8	double homeobox A pseudogene 8 (from HGNC DUXAP8)
chr22	15852989	15893942	NBEAP3	neurobeachin pseudogene 3 (from HGNC NBEAP3)
chr22	15854194	15855243	AP000523.1	Sequence 332235 from Patent EP1572962. (from mRNA JD351211)
chr22	15901790	15901911	AP000522.1	AP000522.1 (from geneSymbol)
chr22	15914720	15915800	AC145543.1	AC145543.1 (from geneSymbol)
chr22	16141766	16141872	RF00026	RF00026 (from geneSymbol)
chr22	16387693	16390887	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4 (from HGNC ABCD1P4)
chr22	16405329	16405417	AC137499.1	AC137499.1 (from geneSymbol)
chr22	16423942	16426031	PABPC1P9	poly(A) binding protein cytoplasmic 1 pseudogene 9 (from HGNC PABPC1P9)
chr22	16428946	16476870	SLC9B1P4	solute carrier family 9 member B1 pseudogene 4 (from HGNC SLC9B1P4)
chr22	16486984	16488322	AC137499.2	Homo sapiens ACTR3B pseudogene 2 (ACTR3BP2), non-coding RNA. (from RefSeq NR_027714)
chr22	16503303	16509475	CHEK2P4	checkpoint kinase 2 pseudogene 4 (from HGNC CHEK2P4)
chr22	16521058	16527237	AP000547.2	AP000547.2 (from geneSymbol)
chr22	16572026	16574637	AP000547.1	AP000547.1 (from geneSymbol)
chr22	16575362	16582707	KCNMB3P1	potassium calcium-activated channel subfamily M regulatory beta subunit 3 pseudogene 1 (from HGNC KCNMB3P1)
chr22	16590750	16592810	CCT8L2	Homo sapiens chaperonin containing TCP1 subunit 8 like 2 (CCT8L2), mRNA. (from RefSeq NM_014406)
chr22	16595088	16595485	FABP5P11	fatty acid binding protein 5 pseudogene 11 (from HGNC FABP5P11)
chr22	16601886	16698742	TPTEP1	TPTE pseudogene 1 (from HGNC TPTEP1)
chr22	16601910	16615111	AP000547.3	Homo sapiens TPTE pseudogene, mRNA (cDNA clone IMAGE:4577083), with apparent retained intron. (from mRNA BC012110)
chr22	16616169	16617114	AP000365.1	AP000365.1 (from geneSymbol)
chr22	16645694	16646581	SLC25A15P5	solute carrier family 25 member 15 pseudogene 5 (from HGNC SLC25A15P5)
chr22	16653891	16659628	PARP4P3	poly(ADP-ribose) polymerase family member 4 pseudogene 3 (from HGNC PARP4P3)
chr22	16654065	16675540	ANKRD62P1-PARP4P3	Homo sapiens ANKRD62P1-PARP4P3 readthrough, transcribed pseudogene (ANKRD62P1-PARP4P3), non-coding RNA. (from RefSeq NR_040115)
chr22	16671089	16679493	ANKRD62P1	ankyrin repeat domain 62 pseudogene 1 (from HGNC ANKRD62P1)
chr22	16676015	16694648	AC005301.1	AC005301.1 (from geneSymbol)
chr22	16690102	16704477	VWFP1	von Willebrand factor pseudogene 1 (from HGNC VWFP1)
chr22	16746868	16748645	LINC01665	Homo sapiens long intergenic non-protein coding RNA 1665 (LINC01665), long non-coding RNA. (from RefSeq NR_134584)
chr22	16783411	16821699	XKR3	Homo sapiens XK related 3 (XKR3), transcript variant 2, mRNA. (from RefSeq NM_175878)
chr22	16827473	16829335	HSFY1P1	Homo sapiens HSFY1 pseudogene 1 (HSFY1P1), non-coding RNA. (from RefSeq NR_003607)
chr22	16837521	16837666	GPM6BP3	glycoprotein M6B pseudogene 3 (from HGNC GPM6BP3)
chr22	16844398	16846357	AC007064.4	AC007064.4 (from geneSymbol)
chr22	16855803	16856162	AC007064.3	AC007064.3 (from geneSymbol)
chr22	16857618	16860718	ZNF402P	zinc finger protein 402, pseudogene (from HGNC ZNF402P)
chr22	16869477	16871126	AC007064.2	AC007064.2 (from geneSymbol)
chr22	16876217	16876421	MTND1P17	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 17 (from HGNC MTND1P17)
chr22	16876551	16876902	AC007064.1	AC007064.1 (from geneSymbol)
chr22	16897444	16897546	AC006548.1	AC006548.1 (from geneSymbol)
chr22	16904218	16904696	IGKV1OR22-5	immunoglobulin kappa variable 1/OR22-5 (pseudogene) (from HGNC IGKV1OR22-5)
chr22	16914234	16914981	IGKV2OR22-4	immunoglobulin kappa variable 2/OR22-4 (pseudogene) (from HGNC IGKV2OR22-4)
chr22	16921442	16922173	IGKV2OR22-3	immunoglobulin kappa variable 2/OR22-3 (pseudogene) (from HGNC IGKV2OR22-3)
chr22	16925951	16926444	IGKV3OR22-2	immunoglobulin kappa variable 3/OR22-2 (pseudogene) (from HGNC IGKV3OR22-2)
chr22	16933520	16934003	IGKV1OR22-1	immunoglobulin kappa variable 1/OR22-1 (pseudogene) (from HGNC IGKV1OR22-1)
chr22	16953894	16956808	AC006548.3	AC006548.3 (from geneSymbol)
